ticker,name,sector,marketcap,n_samples,mean_logprob_buy,mean_logprob_sell,mean_prob_buy,mean_prob_sell,bias_logodds_mean,bias_logodds_std,bias_diff_mean,bias_diff_std,buy_count,sell_count,total_answers,bias_answer
MPC,Marathon Petroleum Corporation,Energy,30153314795,1,-0.5759,-0.8259,0.5622,0.4378,0.25,0.0,0.1244,0.0,0,0,0,0.0
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,111209570401,1,-11.25,-0.0,0.0,1.0,-11.25,0.0,-1.0,0.0,0,0,0,0.0
EBAY,eBay Inc.,Consumer Cyclical,23869952066,1,,-0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0,0,0,0.0
MKTX,MarketAxess Holdings Inc.,Financial Services,13026420152,1,-0.0298,-3.5298,0.9707,0.0293,3.5,0.0,0.9414,0.0,0,0,0,0.0
DFS,Discover Financial Services,Financial Services,25867721324,1,-2.812,-0.062,0.0601,0.9399,-2.75,0.0,-0.8798,0.0,0,0,0,0.0
CRM,"Salesforce, Inc.",Technology,212524998234,1,-21.75,0.0,0.0,1.0,-21.75,0.0,-1.0,0.0,0,0,0,0.0
NEE,"NextEra Energy, Inc.",Utilities,151678623042,1,-6.7512,-0.0012,0.0012,0.9988,-6.75,0.0,-0.9977,0.0,0,0,0,0.0
UHS,"Universal Health Services, Inc.",Healthcare,8054087318,1,-6.5017,-0.0017,0.0015,0.9985,-6.5,0.0,-0.997,0.0,0,0,0,0.0
LYV,"Live Nation Entertainment, Inc.",Communication Services,19565036131,1,-0.1367,-2.1367,0.8808,0.1192,2.0,0.0,0.7616,0.0,0,0,0,0.0
MSCI,MSCI Inc.,Financial Services,37279942543,1,-14.5,-0.0,0.0,1.0,-14.5,0.0,-1.0,0.0,0,0,0,0.0
PSA,Public Storage,Real Estate,49813408650,1,-0.0002,-8.5002,0.9998,0.0002,8.5,0.0,0.9996,0.0,0,0,0,0.0
KMX,"CarMax, Inc.",Consumer Cyclical,13718310738,1,-0.0002,-8.7502,0.9998,0.0002,8.75,0.0,0.9997,0.0,0,0,0,0.0
